Date,Rented_Bike_Count,Hour,Temperature_c,Humidity_percent,Wind speed_m_s,Visibility_10m,Dew point temperature_k,Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
1/12/17,254,0,-5.2,37,2.2,2000,255.55,0,0,0,Winter,No Holiday,Yes
1/12/17,204,1,-5.5,38,0.8,2000,255.55,0,0,0,Winter,No Holiday,Yes
1/12/17,173,2,-6,39,1,2000,255.45,0,0,0,Winter,No Holiday,Yes
1/12/17,107,3,-6.2,40,0.9,2000,255.55,0,0,0,Winter,No Holiday,Yes
1/12/17,78,4,-6,36,2.3,2000,254.55,0,0,0,Winter,No Holiday,Yes
1/12/17,100,5,-6.4,37,1.5,2000,254.45,0,0,0,Winter,No Holiday,Yes
1/12/17,181,6,-6.6,35,1.3,2000,253.65,0,0,0,Winter,No Holiday,Yes
1/12/17,460,7,-7.4,38,0.9,2000,253.85,0,0,0,Winter,No Holiday,Yes
1/12/17,930,8,-7.6,37,1.1,2000,253.35,0.01,0,0,Winter,No Holiday,Yes
1/12/17,490,9,-6.5,27,0.5,1928,250.75,0.23,0,0,Winter,No Holiday,Yes
1/12/17,339,10,-3.5,24,1.2,1996,251.95,0.65,0,0,Winter,No Holiday,Yes
1/12/17,360,11,-0.5,21,1.3,1936,252.95,0.94,0,0,Winter,No Holiday,Yes
1/12/17,449,12,1.7,23,1.4,2000,255.95,1.11,0,0,Winter,No Holiday,Yes
1/12/17,451,13,2.4,25,1.6,2000,257.55,1.16,0,0,Winter,No Holiday,Yes
1/12/17,447,14,3,26,2,2000,258.55,1.01,0,0,Winter,No Holiday,Yes
1/12/17,463,15,2.1,36,3.2,2000,261.75,0.54,0,0,Winter,No Holiday,Yes
1/12/17,484,16,1.2,54,4.2,793,266.15,0.24,0,0,Winter,No Holiday,Yes
1/12/17,555,17,0.8,58,1.6,2000,266.65,0.08,0,0,Winter,No Holiday,Yes
1/12/17,862,18,0.6,66,1.4,2000,268.15,0,0,0,Winter,No Holiday,Yes
1/12/17,600,19,0,77,1.7,2000,269.65,0,0,0,Winter,No Holiday,Yes
1/12/17,426,20,-0.3,79,1.5,1913,269.65,0,0,0,Winter,No Holiday,Yes
1/12/17,405,21,-0.8,81,0.8,1687,269.55,0,0,0,Winter,No Holiday,Yes
1/12/17,398,22,-0.9,83,1.5,1380,269.75,0,0,0,Winter,No Holiday,Yes
1/12/17,323,23,-1.3,84,1,1265,269.55,0,0,0,Winter,No Holiday,Yes
2/12/17,328,0,-1.8,87,1.1,994,269.55,0,0,0,Winter,No Holiday,Yes
2/12/17,308,1,-2.2,86,0.6,990,268.95,0,0,0,Winter,No Holiday,Yes
2/12/17,262,2,-2.9,86,1.5,1256,268.25,0,0,0,Winter,No Holiday,Yes
2/12/17,167,3,-3.5,81,2.2,1221,266.95,0,0,0,Winter,No Holiday,Yes
2/12/17,89,4,-3.8,79,2,1167,266.25,0,0,0,Winter,No Holiday,Yes
2/12/17,79,5,-4,79,1.5,1202,266.05,0,0,0,Winter,No Holiday,Yes
2/12/17,70,6,-4.3,82,2.1,1178,266.25,0,0,0,Winter,No Holiday,Yes
2/12/17,146,7,-4.4,81,2.5,1276,266.05,0,0,0,Winter,No Holiday,Yes
2/12/17,219,8,-4.2,79,2.1,1436,265.85,0.01,0,0,Winter,No Holiday,Yes
2/12/17,328,9,-2.9,68,1.6,1487,265.25,0.3,0,0,Winter,No Holiday,Yes
2/12/17,334,10,-0.4,57,1.6,1309,265.35,0.8,0,0,Winter,No Holiday,Yes
2/12/17,388,11,1.9,49,1.8,1406,265.45,1,0,0,Winter,No Holiday,Yes
2/12/17,479,12,4.3,41,1.3,1666,265.35,1.09,0,0,Winter,No Holiday,Yes
2/12/17,606,13,6,36,1.8,1780,265.25,1.12,0,0,Winter,No Holiday,Yes
2/12/17,611,14,7.3,35,1.3,1955,266.05,0.99,0,0,Winter,No Holiday,Yes
2/12/17,589,15,7.6,41,2.3,1953,268.35,0.74,0,0,Winter,No Holiday,Yes
2/12/17,618,16,6.4,48,2.6,1945,269.35,0.22,0,0,Winter,No Holiday,Yes
2/12/17,572,17,6,51,2.5,1891,269.85,0.06,0,0,Winter,No Holiday,Yes
2/12/17,489,18,5.5,53,1.5,1697,269.85,0,0,0,Winter,No Holiday,Yes
2/12/17,385,19,5,52,2.3,1666,269.15,0,0,0,Winter,No Holiday,Yes
2/12/17,359,20,4.6,51,1.2,1585,268.55,0,0,0,Winter,No Holiday,Yes
2/12/17,377,21,4.1,55,1.2,1448,269.05,0,0,0,Winter,No Holiday,Yes
2/12/17,354,22,3.5,54,1.5,1446,268.25,0,0,0,Winter,No Holiday,Yes
2/12/17,366,23,4,56,1,1352,269.15,0,0,0,Winter,No Holiday,Yes
3/12/17,342,0,4,58,1.4,1296,269.65,0,0,0,Winter,No Holiday,Yes
3/12/17,227,1,3.9,69,1.7,485,271.95,0,0,0,Winter,No Holiday,Yes
3/12/17,228,2,3.3,79,1.4,830,273.15,0,0,0,Winter,No Holiday,Yes
3/12/17,117,3,3.4,71,1.6,1011,271.85,0,0.5,0,Winter,No Holiday,Yes
3/12/17,76,4,3.5,73,1,1060,272.35,0,0,0,Winter,No Holiday,Yes
3/12/17,32,5,3.9,75,1.9,914,273.05,0,0,0,Winter,No Holiday,Yes
3/12/17,13,6,3.4,86,2.5,278,274.35,0,1,0,Winter,No Holiday,Yes
3/12/17,22,7,3.1,91,1.2,129,274.85,0,0,0,Winter,No Holiday,Yes
3/12/17,85,8,3.2,92,1.8,244,275.15,0,0,0,Winter,No Holiday,Yes
3/12/17,152,9,3.5,91,1.8,231,275.25,0.02,2.5,0,Winter,No Holiday,Yes
3/12/17,200,10,4.4,89,2.2,257,275.85,0.24,0,0,Winter,No Holiday,Yes
3/12/17,273,11,5.1,87,1.4,321,276.25,0.25,0,0,Winter,No Holiday,Yes
3/12/17,333,12,5.8,85,1.7,349,276.55,0.43,0,0,Winter,No Holiday,Yes
3/12/17,495,13,6.8,81,1.9,390,276.85,0.6,0,0,Winter,No Holiday,Yes
3/12/17,563,14,7.6,76,1.2,422,276.75,0.69,0,0,Winter,No Holiday,Yes
3/12/17,621,15,8,73,1.6,433,276.55,0.53,0,0,Winter,No Holiday,Yes
3/12/17,598,16,7.6,77,1.6,399,276.95,0.2,0,0,Winter,No Holiday,Yes
3/12/17,545,17,6.7,82,1.5,358,276.95,0.05,0,0,Winter,No Holiday,Yes
3/12/17,443,18,6,84,1.9,327,276.55,0,0,0,Winter,No Holiday,Yes
3/12/17,422,19,5.7,85,1.7,309,276.45,0,0,0,Winter,No Holiday,Yes
3/12/17,397,20,5.2,87,1.4,253,276.35,0,0,0,Winter,No Holiday,Yes
3/12/17,385,21,4.7,87,1.2,247,275.85,0,0,0,Winter,No Holiday,Yes
3/12/17,350,22,4.3,89,1.8,201,275.75,0,0,0,Winter,No Holiday,Yes
3/12/17,303,23,3.9,90,1.3,194,275.55,0,0,0,Winter,No Holiday,Yes
4/12/17,285,0,4.2,88,0.6,216,275.45,0,0,0,Winter,No Holiday,Yes
4/12/17,186,1,4.3,87,0.5,221,275.45,0,0,0,Winter,No Holiday,Yes
4/12/17,112,2,4.4,87,1.8,207,275.55,0,0,0,Winter,No Holiday,Yes
4/12/17,65,3,3.6,85,2.3,206,274.45,0,0,0,Winter,No Holiday,Yes
4/12/17,41,4,2.8,89,1.5,130,274.25,0,0,0,Winter,No Holiday,Yes
4/12/17,82,5,2,83,2.7,253,272.65,0,0,0,Winter,No Holiday,Yes
4/12/17,200,6,1.2,76,3.7,371,270.65,0,0.1,0,Winter,No Holiday,Yes
4/12/17,498,7,0.2,68,3.4,702,268.15,0,0,0,Winter,No Holiday,Yes
4/12/17,937,8,-0.8,69,3.5,954,267.45,0.01,0,0,Winter,No Holiday,Yes
4/12/17,509,9,-1.5,47,4.2,1888,261.85,0.22,0,0,Winter,No Holiday,Yes
4/12/17,311,10,-1.1,40,4.5,2000,260.15,0.64,0,0,Winter,No Holiday,Yes
4/12/17,379,11,-0.5,41,4.1,1799,261.05,0.94,0,0,Winter,No Holiday,Yes
4/12/17,393,12,-0.3,38,4.8,1823,260.25,1.11,0,0,Winter,No Holiday,Yes
4/12/17,391,13,0,30,5.4,1938,257.65,1.17,0,0,Winter,No Holiday,Yes
4/12/17,338,14,0.1,27,4.5,2000,256.45,1.09,0,0,Winter,No Holiday,Yes
4/12/17,341,15,-0.1,25,5.8,2000,255.35,0.88,0,0,Winter,No Holiday,Yes
4/12/17,375,16,-0.2,23,4.7,2000,254.35,0.55,0,0,Winter,No Holiday,Yes
4/12/17,515,17,-1.3,26,5.3,2000,254.85,0.18,0,0,Winter,No Holiday,Yes
4/12/17,807,18,-2.1,29,3.9,2000,255.45,0,0,0,Winter,No Holiday,Yes
4/12/17,568,19,-2.9,32,3.2,2000,255.85,0,0,0,Winter,No Holiday,Yes
4/12/17,398,20,-3.6,38,3,2000,257.35,0,0,0,Winter,No Holiday,Yes
4/12/17,397,21,-4.6,43,4.5,2000,257.85,0,0,0,Winter,No Holiday,Yes
4/12/17,353,22,-5.3,45,2.5,2000,257.85,0,0,0,Winter,No Holiday,Yes
4/12/17,248,23,-5.8,44,2.4,2000,257.05,0,0,0,Winter,No Holiday,Yes
5/12/17,216,0,-6.1,42,2.6,2000,256.25,0,0,0,Winter,No Holiday,Yes
5/12/17,198,1,-6.5,41,2.8,2000,255.55,0,0,0,Winter,No Holiday,Yes
5/12/17,124,2,-6.8,41,2.5,2000,255.35,0,0,0,Winter,No Holiday,Yes
5/12/17,62,3,-6.9,39,2,2000,254.65,0,0,0,Winter,No Holiday,Yes
5/12/17,42,4,-7.2,34,3,2000,252.75,0,0,0,Winter,No Holiday,Yes
5/12/17,82,5,-7.4,33,2.6,2000,252.25,0,0,0,Winter,No Holiday,Yes
5/12/17,172,6,-7.4,34,3.2,2000,252.55,0,0,0,Winter,No Holiday,Yes
5/12/17,381,7,-7.5,33,2.2,2000,252.15,0,0,0,Winter,No Holiday,Yes
5/12/17,812,8,-8.1,36,1.6,2000,252.65,0.01,0,0,Winter,No Holiday,Yes
5/12/17,462,9,-7.6,31,1.3,1974,251.35,0.21,0,0,Winter,No Holiday,Yes
5/12/17,269,10,-5.5,26,2.8,1967,251.15,0.64,0,0,Winter,No Holiday,Yes
5/12/17,334,11,-3.9,25,0,1959,252.15,0,0,0,Winter,No Holiday,Yes
5/12/17,321,12,-2.3,25,0,1962,253.45,0,0,0,Winter,No Holiday,Yes
5/12/17,325,13,-1.6,27,0,1955,254.95,0,0,0,Winter,No Holiday,Yes
5/12/17,334,14,-1.1,28,0,2000,255.85,0,0,0,Winter,No Holiday,Yes
5/12/17,353,15,-0.7,28,0,2000,256.25,0,0,0,Winter,No Holiday,Yes
5/12/17,435,16,-0.5,30,0,2000,257.15,0,0,0,Winter,No Holiday,Yes
5/12/17,529,17,-1.6,35,0,2000,258.05,0,0,0,Winter,No Holiday,Yes
5/12/17,789,18,-2.6,40,0,2000,258.75,0,0,0,Winter,No Holiday,Yes
5/12/17,597,19,-3.2,45,0,2000,259.65,0,0,0,Winter,No Holiday,Yes
5/12/17,418,20,-3.5,46,0,2000,259.75,0,0,0,Winter,No Holiday,Yes
5/12/17,415,21,-3.7,47,0,2000,259.85,0,0,0,Winter,No Holiday,Yes
5/12/17,393,22,-2.8,49,0,2000,261.15,0,0,0,Winter,No Holiday,Yes
5/12/17,244,23,-2.5,59,0,1210,263.75,0,0,0,Winter,No Holiday,Yes
6/12/17,145,0,-2.8,77,0,331,266.95,0,0.1,0.1,Winter,No Holiday,Yes
6/12/17,144,1,-3,79,0,293,267.05,0,0,0.3,Winter,No Holiday,Yes
6/12/17,117,2,-3,79,0,1862,267.05,0,0,0.4,Winter,No Holiday,Yes
6/12/17,78,3,-3.2,78,0,1808,266.75,0,0.2,0.4,Winter,No Holiday,Yes
6/12/17,58,4,-3.4,75,0,1982,265.95,0,0,0.4,Winter,No Holiday,Yes
6/12/17,87,5,-3.6,76,0,1934,265.95,0,0,0.4,Winter,No Holiday,Yes
6/12/17,142,6,-3.7,76,0,1864,265.85,0,0,0.4,Winter,No Holiday,Yes
6/12/17,379,7,-4.2,77,0,1741,265.55,0,0,0.3,Winter,No Holiday,Yes
6/12/17,802,8,-4.2,78,0,1518,265.75,0.01,0,0.2,Winter,No Holiday,Yes
6/12/17,440,9,-3.3,70,0,1324,265.25,0.25,0,0.2,Winter,No Holiday,Yes
6/12/17,307,10,-0.9,64,0,1224,266.35,0.63,0,0.2,Winter,No Holiday,Yes
6/12/17,381,11,1.6,57,1.2,1261,267.15,0.93,0,0,Winter,No Holiday,Yes
6/12/17,405,12,2.4,52,0.9,1224,266.75,1.08,0,0,Winter,No Holiday,Yes
6/12/17,442,13,4.2,47,1.1,1469,267.05,1.1,0,0,Winter,No Holiday,Yes
6/12/17,416,14,5.5,34,1,1966,264.05,0.96,0,0,Winter,No Holiday,Yes
6/12/17,412,15,5.5,31,3.1,1968,262.85,0.72,0,0,Winter,No Holiday,Yes
6/12/17,496,16,5.3,37,2.9,2000,264.95,0.36,0,0,Winter,No Holiday,Yes
6/12/17,239,17,4.1,60,2.5,1565,270.25,0.1,0,0,Winter,No Holiday,Yes
6/12/17,204,18,1.7,90,1,66,273.35,0,0.3,0.3,Winter,No Holiday,Yes
6/12/17,205,19,1.2,92,0.7,180,273.15,0,0,1,Winter,No Holiday,Yes
6/12/17,190,20,1.2,94,0.6,228,273.45,0,0,1,Winter,No Holiday,Yes
6/12/17,165,21,1.1,92,0.5,235,273.15,0,0.7,1,Winter,No Holiday,Yes
6/12/17,222,22,1.3,92,0.6,233,273.25,0,0,1,Winter,No Holiday,Yes
6/12/17,193,23,1.3,92,0.6,209,273.25,0,0,1,Winter,No Holiday,Yes
7/12/17,198,0,1.4,92,0.5,240,273.35,0,0,0.9,Winter,No Holiday,Yes
7/12/17,218,1,1.5,92,0.4,227,273.45,0,0,0.9,Winter,No Holiday,Yes
7/12/17,149,2,1.4,92,0.7,168,273.35,0,0,0.9,Winter,No Holiday,Yes
7/12/17,102,3,1.9,91,1.4,218,273.65,0,0,0.9,Winter,No Holiday,Yes
7/12/17,62,4,1.6,92,0.7,119,273.55,0,0,0.9,Winter,No Holiday,Yes
7/12/17,83,5,1.5,92,1.1,175,273.45,0,0,0.9,Winter,No Holiday,Yes
7/12/17,137,6,1,93,0.5,148,273.15,0,0,0.9,Winter,No Holiday,Yes
7/12/17,367,7,0.3,93,0.5,173,272.45,0,0,0.9,Winter,No Holiday,Yes
7/12/17,754,8,-0.2,96,0.8,173,272.45,0.01,0,0.8,Winter,No Holiday,Yes
7/12/17,415,9,0.1,91,0.8,265,272.05,0.14,0,0.8,Winter,No Holiday,Yes
7/12/17,321,10,1.1,83,0.7,311,271.75,0.41,0,0.7,Winter,No Holiday,Yes
7/12/17,333,11,2.3,69,1.7,628,270.35,0.63,0,0.6,Winter,No Holiday,Yes
7/12/17,431,12,3.7,65,2.4,833,270.95,0.98,0,0.3,Winter,No Holiday,Yes
7/12/17,394,13,4.1,37,3.1,1767,263.85,1.14,0,0,Winter,No Holiday,Yes
7/12/17,390,14,4.4,36,2.7,1975,263.75,1.04,0,0,Winter,No Holiday,Yes
7/12/17,430,15,4,35,3.1,1962,263.05,0.84,0,0,Winter,No Holiday,Yes
7/12/17,471,16,3.2,38,2.9,1817,263.45,0.51,0,0,Winter,No Holiday,Yes
7/12/17,552,17,2.1,50,2,1434,265.95,0.15,0,0,Winter,No Holiday,Yes
7/12/17,795,18,0.7,46,2.7,1558,263.55,0,0,0,Winter,No Holiday,Yes
7/12/17,507,19,-0.4,47,2.5,1269,262.85,0,0,0,Winter,No Holiday,Yes
7/12/17,390,20,-1.4,47,2.5,1620,261.95,0,0,0,Winter,No Holiday,Yes
7/12/17,402,21,-2.2,46,2.2,1975,260.95,0,0,0,Winter,No Holiday,Yes
7/12/17,389,22,-2.7,48,2.6,1844,260.95,0,0,0,Winter,No Holiday,Yes
7/12/17,259,23,-3.2,50,2.1,1887,261.05,0,0,0,Winter,No Holiday,Yes
8/12/17,233,0,-3.5,49,2.6,1893,260.55,0,0,0,Winter,No Holiday,Yes
8/12/17,230,1,-3.7,50,2.5,1902,260.55,0,0,0,Winter,No Holiday,Yes
8/12/17,131,2,-4.3,53,1,1918,260.75,0,0,0,Winter,No Holiday,Yes
8/12/17,99,3,-4.8,52,1.6,1978,260.05,0,0,0,Winter,No Holiday,Yes
8/12/17,71,4,-5.3,53,2.4,1936,259.75,0,0,0,Winter,No Holiday,Yes
8/12/17,84,5,-5.8,56,2,1941,260.05,0,0,0,Winter,No Holiday,Yes
8/12/17,158,6,-6,56,3.5,1853,259.85,0,0,0,Winter,No Holiday,Yes
8/12/17,387,7,-6.5,57,0.8,1776,259.55,0,0,0,Winter,No Holiday,Yes
8/12/17,780,8,-7,59,0.8,1559,259.55,0.01,0,0,Winter,No Holiday,Yes
8/12/17,395,9,-6.7,50,0.9,1492,257.75,0.23,0,0,Winter,No Holiday,Yes
8/12/17,261,10,-5.3,44,2.8,1516,257.55,0.63,0,0,Winter,No Holiday,Yes
8/12/17,310,11,-3.7,39,1.4,1595,257.55,0.93,0,0,Winter,No Holiday,Yes
8/12/17,355,12,-2,30,1.4,1728,255.85,1.14,0,0,Winter,No Holiday,Yes
8/12/17,354,13,-1.7,28,1.8,1963,255.35,1.22,0,0,Winter,No Holiday,Yes
8/12/17,350,14,-1.3,27,3.1,1906,255.25,1.12,0,0,Winter,No Holiday,Yes
8/12/17,362,15,-0.8,26,3.3,1977,255.25,0.87,0,0,Winter,No Holiday,Yes
8/12/17,401,16,-1.1,24,3.4,2000,254.05,0.56,0,0,Winter,No Holiday,Yes
8/12/17,500,17,-2.4,30,2.7,2000,255.55,0.18,0,0,Winter,No Holiday,Yes
8/12/17,752,18,-3.1,33,1.2,2000,256.05,0,0,0,Winter,No Holiday,Yes
8/12/17,477,19,-3.3,35,1.1,2000,256.55,0,0,0,Winter,No Holiday,Yes
8/12/17,384,20,-3.3,34,1.5,2000,256.25,0,0,0,Winter,No Holiday,Yes
8/12/17,336,21,-3.3,35,0.5,2000,256.55,0,0,0,Winter,No Holiday,Yes
8/12/17,347,22,-3.4,39,1.2,2000,257.75,0,0,0,Winter,No Holiday,Yes
8/12/17,275,23,-3.5,43,0.9,2000,258.85,0,0,0,Winter,No Holiday,Yes
9/12/17,267,0,-3.5,48,0.9,1967,260.25,0,0,0,Winter,No Holiday,Yes
9/12/17,296,1,-4.1,49,0.6,2000,259.95,0,0,0,Winter,No Holiday,Yes
9/12/17,237,2,-4.7,50,0.7,1983,259.65,0,0,0,Winter,No Holiday,Yes
9/12/17,169,3,-4.3,47,0.6,1992,259.25,0,0,0,Winter,No Holiday,Yes
9/12/17,96,4,-4.3,49,0.7,2000,259.75,0,0,0,Winter,No Holiday,Yes
9/12/17,56,5,-4.7,49,0.8,1999,259.35,0,0,0,Winter,No Holiday,Yes
9/12/17,76,6,-5.1,53,0.9,1975,259.95,0,0,0,Winter,No Holiday,Yes
9/12/17,127,7,-5.5,56,0.8,1950,260.25,0,0,0,Winter,No Holiday,Yes
9/12/17,222,8,-5.4,56,0.7,1940,260.35,0.01,0,0,Winter,No Holiday,Yes
9/12/17,291,9,-4.7,48,1,1784,259.15,0.23,0,0,Winter,No Holiday,Yes
